method,portfolio_lambda,fee_bps,final_gross_equity,final_net_equity,total_fees_paid,max_drawdown_net,sharpe_like_net,avg_active_gross_exposure,avg_abs_active_net_exposure,positions,sleeves,median_holding_hours,universe_lost_exits,gross_cap
ordinary,0.0,0,0.9765672087747138,0.9765672087747138,0.0,-0.42823568782465893,1.358177334131465,0.9144298701109416,0.26003572651411816,8165,2545,15.0,648,1.0
ordinary,0.0,5,0.9765672087747138,0.5752044413665988,0.40136276740811505,-0.4805690592149111,0.8007511469264205,0.9144298701109416,0.26003572651411816,8165,2545,15.0,648,1.0
ordinary,0.0,10,0.9765672087747138,0.1738416739584837,0.8027255348162301,-0.5342225206546534,0.2422133102273054,0.9144298701109416,0.26003572651411816,8165,2545,15.0,648,1.0
advanced_lambda_0p5,3.0,0,2.2006405226049113,2.2006405226049113,0.0,-0.24590024410099995,3.410143170380947,0.8885626472159108,0.19474894689765263,4598,1711,24.0,430,1.0
advanced_lambda_0p5,3.0,5,2.2006405226049113,1.8778978690536412,0.3227426535512701,-0.25167135836169086,2.9122024400776896,0.8885626472159108,0.19474894689765263,4598,1711,24.0,430,1.0
advanced_lambda_0p5,3.0,10,2.2006405226049113,1.5551552155023711,0.6454853071025402,-0.2574424726223817,2.4131344440789544,0.8885626472159108,0.19474894689765263,4598,1711,24.0,430,1.0
ordinary,0.0,0,1.4648508131620621,1.4648508131620621,0.0,-0.6423535317369896,1.3581773341314662,1.3716448051664123,0.3900535897711772,8165,2545,15.0,648,1.5
ordinary,0.0,5,1.4648508131620621,0.8628066620498926,0.6020441511121695,-0.7208535888223683,0.8007511469264164,1.3716448051664123,0.3900535897711772,8165,2545,15.0,648,1.5
ordinary,0.0,10,1.4648508131620621,0.2607625109377232,1.204088302224339,-0.8013337809819828,0.24221331022730413,1.3716448051664123,0.3900535897711772,8165,2545,15.0,648,1.5
advanced_lambda_0p5,3.0,0,3.3009593583850485,3.3009593583850485,0.0,-0.3688503601114784,3.4101421947697896,1.332843989030126,0.2921234295253445,4598,1711,24.0,430,1.5
advanced_lambda_0p5,3.0,5,3.3009593583850485,2.8168453934737854,0.48411396491126313,-0.37750703152192844,2.9122014091675195,1.332843989030126,0.2921234295253445,4598,1711,24.0,430,1.5
advanced_lambda_0p5,3.0,10,3.3009593583850485,2.3327314285625222,0.9682279298225263,-0.38616370293237845,2.4131333569979883,1.332843989030126,0.2921234295253445,4598,1711,24.0,430,1.5
ordinary,0.0,0,1.9531344175494276,1.9531344175494276,0.0,-0.8564713756493179,1.358177334131465,1.8288597402218831,0.5200714530282363,8165,2545,15.0,648,2.0
ordinary,0.0,5,1.9531344175494276,1.1504088827331975,0.8027255348162301,-0.9611381184298222,0.8007511469264205,1.8288597402218831,0.5200714530282363,8165,2545,15.0,648,2.0
ordinary,0.0,10,1.9531344175494276,0.3476833479169674,1.6054510696324602,-1.0684450413093067,0.2422133102273054,1.8288597402218831,0.5200714530282363,8165,2545,15.0,648,2.0
advanced_lambda_0p5,3.0,0,4.40127843918695,4.40127843918695,0.0,-0.4918005086285947,3.410141480534313,1.7771253199977792,0.38949791865566286,4598,1711,24.0,430,2.0
advanced_lambda_0p5,3.0,5,4.40127843918695,3.755793137440041,0.6454853017469095,-0.503342737439527,2.9122007067845095,1.7771253199977792,0.38949791865566286,4598,1711,24.0,430,2.0
advanced_lambda_0p5,3.0,10,4.40127843918695,3.1103078356931313,1.290970603493819,-0.5148849662504591,2.413132666762402,1.7771253199977792,0.38949791865566286,4598,1711,24.0,430,2.0
ordinary,0.0,0,2.4326918486261655,2.4326918486261655,0.0,-1.0629904484989627,1.3549498169858187,2.285848174634348,0.6490921457963319,8165,2545,15.0,648,2.5
ordinary,0.0,5,2.4326918486261655,1.429494785216252,1.0031970634099134,-1.1938719128749067,0.7969664682256447,2.285848174634348,0.6490921457963319,8165,2545,15.0,648,2.5
ordinary,0.0,10,2.4326918486261655,0.4262977218063386,2.006394126819827,-1.3321920030906733,0.23786997134761165,2.285848174634348,0.6490921457963319,8165,2545,15.0,648,2.5
advanced_lambda_0p5,3.0,0,5.524642538348955,5.524642538348955,0.0,-0.6148578456749872,3.4726977892568502,2.2201434146522216,0.4814153890604776,4609,1718,24.0,431,2.5
advanced_lambda_0p5,3.0,5,5.524642538348955,4.715817012848683,0.8088255255002714,-0.6292860138778472,2.9666265241514114,2.2201434146522216,0.4814153890604776,4609,1718,24.0,431,2.5
advanced_lambda_0p5,3.0,10,5.524642538348955,3.906991487348411,1.6176510510005437,-0.6437141820807072,2.459363798897272,2.2201434146522216,0.4814153890604776,4609,1718,24.0,431,2.5
